number	type	direction	days	stop|Høje Taastrup|0.0|0	stop|Taastrup|1.5|0	stop|Albertslund|5.4|0	stop|Glostrup|8.3|0	stop|Brøndbyøster|11.0|0	stop|Rødovre|12.1|0	stop|Hvidovre|13.2|0	stop|Danshøj|14.2|0	stop|Valby|15.6|0	stop|Carlsberg|17.0|0	stop|Dybbølsbro|18.6|0	stop|København H|19.5|0	stop|Vesterport|20.0|0	stop|Nørreport|21.0|0	stop|Østerport|22.6|0	stop|Nordhavn|24.0|0	stop|Svanemøllen|25.3|0	stop|Ryparken|31.5|0	stop|Emdrup|34.3|0	stop|Dyssegård|35.7|0	stop|Vangede|36.6|0	stop|Kildebakke|37.8|0	stop|Buddinge|38.9|0	stop|Stengården|40.7|0	stop|Bagsværd|41.9|0	stop|Skovbrynet|43.3|0	stop|Hareskov|45.3|0	stop|Værløse|48.3|0	stop|Farum|52.4|0
117027126	B	S	FS	24:27	24:24	24:21	24:18	24:15	24:13	24:11	24:10	24:08	24:05	24:03	24:01	23:58	23:56	23:54	23:51	23:49	23:47	23:44	23:42	23:40	23:38	23:37	23:35	23:33	23:31	23:28	23:25	23:21
117027125	B	S	FS	24:47	24:44	24:41	24:38	24:35	24:33	24:31	24:30	24:28	24:25	24:23	24:21	24:18	24:16	24:14	24:11	24:09	24:07	24:04	24:02	24:00	23:58	23:57	23:55	23:53	23:51	23:48	23:45	23:41
117027124	B	S	FS	25:07	25:04	25:01	24:58	24:55	24:53	24:51	24:50	24:48	24:45	24:43	24:41	24:38	24:36	24:34	24:31	24:29	24:27	24:24	24:22	24:20	24:18	24:17	24:15	24:13	24:11	24:08	24:05	24:01
117027123	B	S	FS	25:27	25:24	25:21	25:18	25:15	25:13	25:11	25:10	25:08	25:05	25:03	25:01	24:58	24:56	24:54	24:51	24:49	24:47	24:44	24:42	24:40	24:38	24:37	24:35	24:33	24:31	24:28	24:25	24:21
117027122	B	S	FS	25:47	25:44	25:41	25:38	25:35	25:33	25:31	25:30	25:28	25:25	25:23	25:21	25:18	25:16	25:14	25:11	25:09	25:07	25:04	25:02	25:00	24:58	24:57	24:55	24:53	24:51	24:48	24:45	24:41
117027121	B	S	FS	26:47	26:44	26:41	26:38	26:35	26:33	26:31	26:30	26:28	26:25	26:23	26:21	26:18	26:16	26:14	26:11	26:09	26:07	26:04	26:02	26:00	25:58	25:57	25:55	25:53	25:51	25:48	25:45	25:41
117027120	B	S	SU	03:47	03:44	03:41	03:38	03:35	03:33	03:31	03:30	03:28	03:25	03:23	03:21	03:18	03:16	03:14	03:11	03:09	03:07	03:04	03:02	03:00	02:58	02:57	02:55	02:53	02:51	02:48	02:45	02:41
117027119	B	S	SU	04:47	04:44	04:41	04:38	04:35	04:33	04:31	04:30	04:28	04:25	04:23	04:21	04:18	04:16	04:14	04:11	04:09	04:07	04:04	04:02	04:00	03:58	03:57	03:55	03:53	03:51	03:48	03:45	03:41
117026947	B	S	MTWRF	05:27	05:24	05:21	05:18	05:15	05:13	05:11	05:10	05:08	05:05	05:03	05:01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
117027118	B	S	SU	05:47	05:44	05:41	05:38	05:35	05:33	05:31	05:30	05:28	05:25	05:23	05:21	05:18	05:16	05:14	05:11	05:09	05:07	05:04	05:02	05:00	04:58	04:57	04:55	04:53	04:51	04:48	04:45	04:41
117026946	B	S	MTWRF	05:47	05:44	05:41	05:38	05:35	05:33	05:31	05:30	05:28	05:25	05:23	05:21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
117027117	B	S	MTWRF	06:07	06:04	06:01	05:58	05:55	05:53	05:51	05:50	05:48	05:45	05:43	05:41	05:38	05:36	05:34	05:31	05:29	05:27	05:24	05:22	05:20	05:18	05:17	05:15	05:13	05:11	05:08	05:05	05:01
117027116	B	S	MTWRF	06:27	06:24	06:21	06:18	06:15	06:13	06:11	06:10	06:08	06:05	06:03	06:01	05:58	05:56	05:54	05:51	05:49	05:47	05:44	05:42	05:40	05:38	05:37	05:35	05:33	05:31	05:28	05:25	05:21
117027115	B	S	MTWRFSU	06:47	06:44	06:41	06:38	06:35	06:33	06:31	06:30	06:28	06:25	06:23	06:21	06:18	06:16	06:14	06:11	06:09	06:07	06:04	06:02	06:00	05:58	05:57	05:55	05:53	05:51	05:48	05:45	05:41
117027114	B	S	MTWRF	07:07	07:04	07:01	06:58	06:55	06:53	06:51	06:50	06:48	06:45	06:43	06:41	06:38	06:36	06:34	06:31	06:29	06:27	06:24	06:22	06:20	06:18	06:17	06:15	06:13	06:11	06:08	06:05	06:01
117027113	B	S	MTWRF	07:27	07:24	07:21	07:18	07:15	07:13	07:11	07:10	07:08	07:05	07:03	07:01	06:58	06:56	06:54	06:51	06:49	06:47	06:44	06:42	06:40	06:38	06:37	06:35	06:33	06:31	06:28	06:25	06:21
117027112	B	S	MTWRFSU	07:47	07:44	07:41	07:38	07:35	07:33	07:31	07:30	07:28	07:25	07:23	07:21	07:18	07:16	07:14	07:11	07:09	07:07	07:04	07:02	07:00	06:58	06:57	06:55	06:53	06:51	06:48	06:45	06:41
