number	type	direction	days	stop|Dybbølsbro|0.0|0	stop|København H|0.9|0	stop|Vesterport|1.4|0	stop|Nørreport|2.4|0	stop|Østerport|4.0|0	stop|Nordhavn|5.4|0	stop|Svanemøllen|6.7|0
117026132	A	S	MTWRF	05:07	05:05	-	-	-	-	-
117026130	A	S	MTWRF	05:27	05:25	05:22	05:20	05:18	05:15	05:13
117026129	A	S	MTWRF	05:47	05:45	05:42	05:40	05:38	05:35	05:33
117026128	A	S	MTWRF	06:07	06:05	06:02	06:00	05:58	05:55	05:53
117026127	A	S	MTWRF	06:27	06:25	06:22	06:20	06:18	06:15	06:13
117026126	A	S	MTWRF	06:47	06:45	06:42	06:40	06:38	06:35	06:33
117026125	A	S	MTWRF	07:07	07:05	07:02	07:00	06:58	06:55	06:53
117026124	A	S	MTWRF	07:27	07:25	07:22	07:20	07:18	07:15	07:13
117026123	A	S	MTWRF	07:47	07:45	07:42	07:40	07:38	07:35	07:33
117026122	A	S	MTWRF	08:07	08:05	08:02	08:00	07:58	07:55	07:53
117026121	A	S	MTWRF	08:27	08:25	08:22	08:20	08:18	08:15	08:13
117026120	A	S	MTWRF	08:47	08:45	08:42	08:40	08:38	08:35	08:33
117026119	A	S	MTWRF	09:07	09:05	09:02	09:00	08:58	08:55	08:53
117026118	A	S	MTWRF	09:27	09:25	09:22	09:20	09:18	09:15	09:13
117026117	A	S	MTWRF	09:47	09:45	09:42	09:40	09:38	09:35	09:33
117026116	A	S	MTWRF	10:07	10:05	10:02	10:00	09:58	09:55	09:53
117026115	A	S	MTWRF	10:27	10:25	10:22	10:20	10:18	10:15	10:13
117026114	A	S	MTWRF	10:47	10:45	10:42	10:40	10:38	10:35	10:33
117026113	A	S	MTWRF	11:07	11:05	11:02	11:00	10:58	10:55	10:53
117026112	A	S	MTWRF	11:27	11:25	11:22	11:20	11:18	11:15	11:13
117026111	A	S	MTWRF	11:47	11:45	11:42	11:40	11:38	11:35	11:33
117026110	A	S	MTWRF	12:07	12:05	12:02	12:00	11:58	11:55	11:53
117026109	A	S	MTWRF	12:27	12:25	12:22	12:20	12:18	12:15	12:13
117026108	A	S	MTWRF	12:47	12:45	12:42	12:40	12:38	12:35	12:33
117026107	A	S	MTWRF	13:07	13:05	13:02	13:00	12:58	12:55	12:53
117026106	A	S	MTWRF	13:27	13:25	13:22	13:20	13:18	13:15	13:13
117026105	A	S	MTWRF	13:47	13:45	13:42	13:40	13:38	13:35	13:33
117026104	A	S	MTWRF	14:07	14:05	14:02	14:00	13:58	13:55	13:53
117026103	A	S	MTWRF	14:27	14:25	14:22	14:20	14:18	14:15	14:13
117026102	A	S	MTWRF	14:47	14:45	14:42	14:40	14:38	14:35	14:33
117026101	A	S	MTWRF	15:07	15:05	15:02	15:00	14:58	14:55	14:53
117026100	A	S	MTWRF	15:27	15:25	15:22	15:20	15:18	15:15	15:13
117026099	A	S	MTWRF	15:47	15:45	15:42	15:40	15:38	15:35	15:33
117026098	A	S	MTWRF	16:07	16:05	16:02	16:00	15:58	15:55	15:53
117026097	A	S	MTWRF	16:27	16:25	16:22	16:20	16:18	16:15	16:13
117026096	A	S	MTWRF	16:47	16:45	16:42	16:40	16:38	16:35	16:33
117026095	A	S	MTWRF	17:07	17:05	17:02	17:00	16:58	16:55	16:53
117026094	A	S	MTWRF	17:27	17:25	17:22	17:20	17:18	17:15	17:13
117026093	A	S	MTWRF	17:47	17:45	17:42	17:40	17:38	17:35	17:33
117026092	A	S	MTWRF	18:07	18:05	18:02	18:00	17:58	17:55	17:53
117026091	A	S	MTWRF	18:27	18:25	18:22	18:20	18:18	18:15	18:13
117026090	A	S	MTWRF	18:47	18:45	18:42	18:40	18:38	18:35	18:33
117026089	A	S	MTWRF	19:07	19:05	19:02	19:00	18:58	18:55	18:53
117026088	A	S	MTWRF	19:27	19:25	19:22	19:20	19:18	19:15	19:13
117026131	A	S	MTWRF	05:57	05:55	-	-	-	-	-
117026087	A	S	MTWRF	06:17	06:15	06:12	06:10	06:08	06:05	06:03
117026086	A	S	MTWRF	06:37	06:35	06:32	06:30	06:28	06:25	06:23
117026085	A	S	MTWRF	06:57	06:55	06:52	06:50	06:48	06:45	06:43
117026084	A	S	MTWRF	07:17	07:15	07:12	07:10	07:08	07:05	07:03
117026083	A	S	MTWRF	07:37	07:35	07:32	07:30	07:28	07:25	07:23
117026082	A	S	MTWRF	07:57	07:55	07:52	07:50	07:48	07:45	07:43
117026081	A	S	MTWRF	08:17	08:15	08:12	08:10	08:08	08:05	08:03
117026080	A	S	MTWRF	08:37	08:35	08:32	08:30	08:28	08:25	08:23
117026079	A	S	MTWRF	08:57	08:55	08:52	08:50	08:48	08:45	08:43
117026078	A	S	MTWRF	09:17	09:15	09:12	09:10	09:08	09:05	09:03
117026077	A	S	MTWRF	09:37	09:35	09:32	09:30	09:28	09:25	09:23
117026076	A	S	MTWRF	09:57	09:55	09:52	09:50	09:48	09:45	09:43
117026075	A	S	MTWRF	10:17	10:15	10:12	10:10	10:08	10:05	10:03
117026074	A	S	MTWRF	10:37	10:35	10:32	10:30	10:28	10:25	10:23
117026073	A	S	MTWRF	10:57	10:55	10:52	10:50	10:48	10:45	10:43
117026072	A	S	MTWRF	11:17	11:15	11:12	11:10	11:08	11:05	11:03
117026071	A	S	MTWRF	11:37	11:35	11:32	11:30	11:28	11:25	11:23
117026070	A	S	MTWRF	11:57	11:55	11:52	11:50	11:48	11:45	11:43
117026069	A	S	MTWRF	12:17	12:15	12:12	12:10	12:08	12:05	12:03
117026068	A	S	MTWRF	12:37	12:35	12:32	12:30	12:28	12:25	12:23
117026067	A	S	MTWRF	12:57	12:55	12:52	12:50	12:48	12:45	12:43
117026066	A	S	MTWRF	13:17	13:15	13:12	13:10	13:08	13:05	13:03
117026065	A	S	MTWRF	13:37	13:35	13:32	13:30	13:28	13:25	13:23
117026064	A	S	MTWRF	13:57	13:55	13:52	13:50	13:48	13:45	13:43
117026063	A	S	MTWRF	14:17	14:15	14:12	14:10	14:08	14:05	14:03
117026062	A	S	MTWRF	14:37	14:35	14:32	14:30	14:28	14:25	14:23
117026061	A	S	MTWRF	14:57	14:55	14:52	14:50	14:48	14:45	14:43
117026060	A	S	MTWRF	15:17	15:15	15:12	15:10	15:08	15:05	15:03
117026059	A	S	MTWRF	15:37	15:35	15:32	15:30	15:28	15:25	15:23
117026058	A	S	MTWRF	15:57	15:55	15:52	15:50	15:48	15:45	15:43
117026057	A	S	MTWRF	16:17	16:15	16:12	16:10	16:08	16:05	16:03
117026056	A	S	MTWRF	16:37	16:35	16:32	16:30	16:28	16:25	16:23
117026055	A	S	MTWRF	16:57	16:55	16:52	16:50	16:48	16:45	16:43
117026054	A	S	MTWRF	17:17	17:15	17:12	17:10	17:08	17:05	17:03
117026053	A	S	MTWRF	17:37	17:35	17:32	17:30	17:28	17:25	17:23
117026052	A	S	MTWRF	17:57	17:55	17:52	17:50	17:48	17:45	17:43
117026051	A	S	MTWRF	18:17	18:15	18:12	18:10	18:08	18:05	18:03
117026050	A	S	MTWRF	18:37	18:35	18:32	18:30	18:28	18:25	18:23
117026049	A	S	MTWRF	18:57	18:55	18:52	18:50	18:48	18:45	18:43
117026048	A	S	MTWRF	19:17	19:15	19:12	19:10	19:08	19:05	19:03
117026348	A	S	MTWRFSU	24:17	24:15	24:12	24:10	24:08	24:05	24:03
117026347	A	S	FS	24:37	24:35	24:32	24:30	24:28	24:25	24:23
117026346	A	S	FS	24:57	24:55	24:52	24:50	24:48	24:45	24:43
117026345	A	S	FS	25:17	25:15	25:12	25:10	25:08	25:05	25:03
117026344	A	S	FS	25:37	25:35	25:32	25:30	25:28	25:25	25:23
117026343	A	S	FS	25:57	25:55	25:52	25:50	25:48	25:45	25:43
117026342	A	S	SU	02:57	02:55	02:52	02:50	02:48	02:45	02:43
117026341	A	S	SU	03:57	03:55	03:52	03:50	03:48	03:45	03:43
117026340	A	S	SU	04:57	04:55	04:52	04:50	04:48	04:45	04:43
117026339	A	S	SU	05:57	05:55	05:52	05:50	05:48	05:45	05:43
117026338	A	S	SU	06:57	06:55	06:52	06:50	06:48	06:45	06:43
117026337	A	S	SU	07:17	07:15	07:12	07:10	07:08	07:05	07:03
117026336	A	S	SU	07:37	07:35	07:32	07:30	07:28	07:25	07:23
117026335	A	S	SU	07:57	07:55	07:52	07:50	07:48	07:45	07:43
117026334	A	S	SU	08:17	08:15	08:12	08:10	08:08	08:05	08:03
117026333	A	S	SU	08:37	08:35	08:32	08:30	08:28	08:25	08:23
117026332	A	S	SU	08:57	08:55	08:52	08:50	08:48	08:45	08:43
117026331	A	S	SU	09:17	09:15	09:12	09:10	09:08	09:05	09:03
117026330	A	S	SU	09:37	09:35	09:32	09:30	09:28	09:25	09:23
117026329	A	S	SU	09:57	09:55	09:52	09:50	09:48	09:45	09:43
117026328	A	S	SU	10:17	10:15	10:12	10:10	10:08	10:05	10:03
117026327	A	S	SU	10:37	10:35	10:32	10:30	10:28	10:25	10:23
117026326	A	S	SU	10:57	10:55	10:52	10:50	10:48	10:45	10:43
117026325	A	S	SU	11:17	11:15	11:12	11:10	11:08	11:05	11:03
117026324	A	S	SU	11:37	11:35	11:32	11:30	11:28	11:25	11:23
117026323	A	S	SU	11:57	11:55	11:52	11:50	11:48	11:45	11:43
117026322	A	S	SU	12:17	12:15	12:12	12:10	12:08	12:05	12:03
117026321	A	S	SU	12:37	12:35	12:32	12:30	12:28	12:25	12:23
117026320	A	S	SU	12:57	12:55	12:52	12:50	12:48	12:45	12:43
117026319	A	S	SU	13:17	13:15	13:12	13:10	13:08	13:05	13:03
117026318	A	S	SU	13:37	13:35	13:32	13:30	13:28	13:25	13:23
117026317	A	S	SU	13:57	13:55	13:52	13:50	13:48	13:45	13:43
117026316	A	S	SU	14:17	14:15	14:12	14:10	14:08	14:05	14:03
117026315	A	S	SU	14:37	14:35	14:32	14:30	14:28	14:25	14:23
117026314	A	S	SU	14:57	14:55	14:52	14:50	14:48	14:45	14:43
