number	type	direction	days	stop|Ny Ellebjerg|0.0|0	stop|Vigerslev Allé|1.1|0	stop|Danshøj|1.8|0	stop|Ålholm|2.6|0	stop|KB Hallen|3.3|0	stop|Flintholm|4.3|0	stop|Grøndal|5.5|0	stop|Fuglebakken|6.4|0	stop|Nørrebro|7.4|0	stop|Bispebjerg|8.0|0	stop|Ryparken|9.7|0	stop|Hellerup|11.7|0
117028561	F	S	MTWRFSU	24:20	24:17	24:16	24:15	24:13	24:12	24:10	24:09	24:07	24:06	24:04	24:02
117028560	F	S	MTWRFSU	24:40	24:37	24:36	24:35	24:33	24:32	24:30	24:29	24:27	24:26	24:24	24:22
117028558	F	S	FS	25:20	25:17	25:16	25:15	25:13	25:12	25:10	25:09	25:07	25:06	25:04	25:02
117028557	F	S	SU	02:20	02:17	02:16	02:15	02:13	02:12	02:10	02:09	02:07	02:06	02:04	02:02
117028556	F	S	SU	03:20	03:17	03:16	03:15	03:13	03:12	03:10	03:09	03:07	03:06	03:04	03:02
117028555	F	S	SU	04:20	04:17	04:16	04:15	04:13	04:12	04:10	04:09	04:07	04:06	04:04	04:02
117028554	F	S	MTWRFSU	05:20	05:17	05:16	05:15	05:13	05:12	05:10	05:09	05:07	05:06	05:04	05:02
117028553	F	S	MTWRF	05:40	05:37	05:36	05:35	05:33	05:32	05:30	05:29	05:27	05:26	05:24	05:22
117028552	F	S	MTWRF	06:00	05:57	05:56	05:55	05:53	05:52	05:50	05:49	05:47	05:46	05:44	05:42
117028551	F	S	MTWRFSU	06:20	06:17	06:16	06:15	06:13	06:12	06:10	06:09	06:07	06:06	06:04	06:02
117028550	F	S	MTWRF	06:40	06:37	06:36	06:35	06:33	06:32	06:30	06:29	06:27	06:26	06:24	06:22
117028549	F	S	MTWRFSU	07:00	06:57	06:56	06:55	06:53	06:52	06:50	06:49	06:47	06:46	06:44	06:42
117028548	F	S	MTWRFSU	07:20	07:17	07:16	07:15	07:13	07:12	07:10	07:09	07:07	07:06	07:04	07:02
